Provider,PotentialFraud,IP_TotalClaimAmt_x,IP_TotalClaimAmt_y,IP_TotalLOS_x,IP_TotalLOS_y,IP_TotalDeductible_y,IP_TotalDeductible_x,IP_ClaimCount_x,IP_ClaimCount_y,UniquePatients,UniqueCounties,OP_TotalClaimAmt,OP_ClaimCount,IP_UniqueOperatingPhys_y,IP_UniqueOperatingPhys_x,OP_TotalDeductible,IP_UniqueOtherPhys_x,IP_UniqueOtherPhys_y,IP_UniqueAttendingPhys_x,IP_UniqueAttendingPhys_y,UniqueStates,OP_UniqueOperatingPhys,OP_UniqueAttendingPhys,OP_UniqueOtherPhys,IP_StdClaimAmt_x,IP_StdClaimAmt_y,AvgIPAnnualReimb,IP_AvgClaimAmt_x,IP_AvgClaimAmt_y,IP_AvgLOS_y,IP_AvgLOS_x,OP_StdClaimAmt,PctKidneyDisease,OP_AvgClaimAmt,OP_AvgDeductible,PctHeartfailure,OP_MedianClaimAmt,StdPatientAge,IP_MedianLOS_y,IP_MedianLOS_x,PctDiabetes,PctAlzheimer,IP_MedianClaimAmt_x,IP_MedianClaimAmt_y
PRV51001,0,97000.0,97000.0,25.0,25.0,5340.0,5340.0,5.0,5.0,24,7,7640.0,20.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,1,3.0,10.0,7.0,18352.11159512714,18352.11159512714,18047.916666666668,19400.0,19400.0,5.0,5.0,422.817616522899,0.7083333333333334,382.0,0.0,0.75,150.0,12.189902417386111,4.0,4.0,0.8333333333333334,0.5833333333333334,12000.0,12000.0
PRV51003,1,573000.0,573000.0,320.0,320.0,66216.0,66216.0,62.0,62.0,117,23,32670.0,70.0,2.0,2.0,70.0,0.0,0.0,2.0,2.0,3,5.0,44.0,22.0,8513.606243799273,8513.606243799273,6814.017094017094,9241.935483870968,9241.935483870968,5.161290322580645,5.161290322580645,821.3645793779573,0.4444444444444444,466.7142857142857,1.0,0.5982905982905983,90.0,13.265544708096167,4.0,4.0,0.7435897435897436,0.37606837606837606,7000.0,7000.0
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,28,52170.0,149.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,9,19.0,38.0,26.0,7937.253933193771,7937.253933193771,4596.739130434783,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,689.9637540197714,0.34057971014492755,350.13422818791946,2.0805369127516777,0.5942028985507246,70.0,12.909559295238076,4.0,4.0,0.6956521739130435,0.43478260869565216,7000.0,7000.0
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495,26,280910.0,1165.0,0.0,0.0,3700.0,0.0,0.0,0.0,0.0,4,6.0,6.0,4.0,7937.253933193771,7937.253933193771,3717.2323232323233,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,491.556391867259,0.3595959595959596,241.1244635193133,3.1759656652360513,0.5313131313131313,70.0,13.608517610074568,4.0,4.0,0.6343434343434343,0.3333333333333333,7000.0,7000.0
PRV51007,0,19000.0,19000.0,16.0,16.0,3204.0,3204.0,3.0,3.0,58,6,14710.0,69.0,1.0,1.0,60.0,0.0,0.0,2.0,2.0,2,4.0,8.0,7.0,3511.884584284246,3511.884584284246,3109.655172413793,6333.333333333333,6333.333333333333,5.333333333333333,5.333333333333333,447.2316571506486,0.29310344827586204,213.18840579710144,0.8695652173913043,0.5172413793103449,70.0,14.509705315694022,5.0,5.0,0.6206896551724138,0.3620689655172414,6000.0,6000.0
PRV51008,0,25000.0,25000.0,8.0,8.0,2136.0,2136.0,2.0,2.0,36,9,10630.0,41.0,2.0,2.0,180.0,0.0,0.0,2.0,2.0,2,3.0,8.0,5.0,12020.815280171308,12020.815280171308,7235.0,12500.0,12500.0,4.0,4.0,404.0383041488916,0.3611111111111111,259.2682926829268,4.390243902439025,0.5833333333333334,90.0,12.583752262495848,4.0,4.0,0.6944444444444444,0.3888888888888889,12500.0,12500.0
PRV51011,0,5000.0,5000.0,5.0,5.0,1068.0,1068.0,1.0,1.0,53,9,11630.0,57.0,0.0,0.0,300.0,0.0,0.0,1.0,1.0,1,10.0,27.0,15.0,7937.253933193771,7937.253933193771,3774.3396226415093,5000.0,5000.0,5.0,5.0,310.7873621322992,0.41509433962264153,204.03508771929825,5.2631578947368425,0.6415094339622641,70.0,13.505144682676075,5.0,5.0,0.6981132075471698,0.4339622641509434,5000.0,5000.0
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,16890.0,48.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3,3.0,14.0,13.0,7937.253933193771,7937.253933193771,4785.4838709677415,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,707.8936578689371,0.41935483870967744,351.875,2.0833333333333335,0.5483870967741935,60.0,11.253673183436746,4.0,4.0,0.6129032258064516,0.3225806451612903,7000.0,7000.0
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,8,14880.0,46.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,2,5.0,9.0,4.0,7937.253933193771,7937.253933193771,3800.909090909091,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,471.622341339171,0.38636363636363635,323.4782608695652,5.0,0.5681818181818182,90.0,13.106759453192831,4.0,4.0,0.8181818181818182,0.3409090909090909,7000.0,7000.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6,10480.0,30.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,2,6.0,7.0,8.0,7937.253933193771,7937.253933193771,2703.6,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,822.984196996362,0.48,349.3333333333333,4.0,0.52,80.0,14.636072574440753,4.0,4.0,0.6,0.44,7000.0,7000.0
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,700.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,4.0,7937.253933193771,7937.253933193771,1355.7142857142858,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,74.01737247816507,0.5714285714285714,87.5,0.0,0.8571428571428571,65.0,12.4547382867578,4.0,4.0,1.0,0.5714285714285714,7000.0,7000.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,170.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,0.0,7937.253933193771,7937.253933193771,0.0,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,37.638632635454044,0.6666666666666666,28.333333333333332,0.0,0.6666666666666666,10.0,13.85857000623392,4.0,4.0,0.8333333333333334,0.3333333333333333,7000.0,7000.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,61,142720.0,515.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,10,46.0,113.0,69.0,7937.253933193771,7937.253933193771,3225.1428571428573,9484.693084693085,9484.693084693085,5.333333333333333,5.333333333333333,570.1818038894332,0.4,277.126213592233,2.0388349514563107,0.5666666666666667,80.0,12.182620027940322,4.0,4.0,0.6619047619047619,0.3880952380952381,7000.0,7000.0
PRV51021,1,269000.0,269000.0,138.0,138.0,30972.0,30972.0,29.0,29.0,208,34,79830.0,228.0,7.0,7.0,520.0,1.0,1.0,7.0,7.0,4,23.0,67.0,41.0,10277.911654625932,10277.911654625932,4290.961538461538,9275.862068965518,9275.862068965518,4.758620689655173,4.758620689655173,631.2399379496628,0.4326923076923077,350.13157894736844,2.280701754385965,0.5432692307692307,85.0,12.628869118631481,4.0,4.0,0.7451923076923077,0.3557692307692308,7000.0,7000.0
PRV51023,0,54000.0,54000.0,32.0,32.0,8544.0,8544.0,9.0,9.0,35,7,11610.0,27.0,4.0,4.0,80.0,1.0,1.0,4.0,4.0,1,5.0,10.0,6.0,3741.657386773941,3741.657386773941,5358.0,6000.0,6000.0,3.5555555555555554,3.5555555555555554,668.511549868581,0.45714285714285713,430.0,2.962962962962963,0.6,70.0,13.076647596904223,3.0,3.0,0.6,0.45714285714285713,4000.0,4000.0
